company,title,location,country,lane,term,mode,posted_date,posted_label,deadline,compensation,fit_score,fit_label,eligibility_label,eligibility_notes,work_auth,source_family,source_name,source_type,official,provenance,url
OLG,Compliance Student,"Toronto or Sault Ste. Marie, ON",Canada,Compliance & Governance,Fall 2026,Onsite,2026-07-09,3 days ago when verified,2026-07-15,CAD $18.50–$28.50/hour,98,Exceptional match,Check academic-term fit,"The posting accepts current students in business, analytics, technology, or a related field and allows non-co-op applicants, but it is a full-time September–December 2026 work term.",Must be eligible to work in Canada,curated,OLG via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/compliance-student-at-olg-4437308977
Harris Computer / gtechna,Legal & Administrative Intern,"Montréal, QC",Canada,Legal & Contracts,Current / flexible,Onsite,2026-06-23,Posted Jun 23,,,97,Exceptional match,Likely match,"The posting accepts students in law, business administration, or a related program. Confirm term dates and Canadian work authorization.",Must be eligible to work in Canada,curated,Harris / Teal listing,aggregator,False,manually reviewed source record,https://www.tealhq.com/job/stagiaire-legal-intern-legal-admin_7ea1a8983571856a38fc2c627f046bbe44b60
TMX Group,Systems Business Analyst Intern,"Toronto, ON",Canada,Analytics & Strategy,Fall 2026 · 12 months,Hybrid,2026-07-09,3 days ago when verified,,CAD $25–$28/hour,96,Exceptional match,Check 12-month availability,"The role targets students in business technology, finance, computer science, or a related field and requires authorization to work in Canada without employer work-permit sponsorship.",Canadian work authorization required; no sponsorship,curated,TMX Group via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/systems-business-analyst-intern-at-tmx-group-4438657089
CSA Group,Co-op Student — Standards,"Toronto, ON",Canada,Compliance & Governance,Fall 2026 · 12 months,Hybrid,2026-07-05,1 week ago when verified,,CAD $24.60–$31.48/hour,95,Exceptional match,Current class-year conflict,"The posting requires completion of second year or higher in an undergraduate program, a 12-month commitment beginning September 2026, and return to school afterward. Katherine began the combined program in September 2025, so the second-year-completed requirement appears unmet as of July 2026.",Must be eligible to work in Canada,curated,CSA Group via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/co-op-student-standards-1-year-contract-starting-september-2026-at-canadian-standards-association-4417346753
Bombardier,"Intern, Contract Administration","Dorval, QC",Canada,Legal & Contracts,Fall 2026,Hybrid,2026-07-04,Posted Jul 4,,,95,Exceptional match,Likely match,"Student-only role for candidates in business, finance, law, or a related field. Confirm your course schedule and work authorization.",Must be eligible to work in Canada,curated,Bombardier via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/1Ous6Brfjzx3biPCXPGBtcIv7MeNeLohI-sIyBLKnEKYSzhVmbnlK4m_ByLWhnp8
Department of Justice Canada,Legal Excellence Program — Law Student and Articling Recruitment,Multiple offices across Canada,Canada,Legal & Contracts,Future office-specific cycles,Not stated,2026-07-13,Live feed · verified Jul 13,,,94,Strong future match,Future upper-year law-student recruiting cycle,Justice Canada offices recruit on different schedules and many summer or articling streams target students who have reached a specified stage of law school. Monitor office pages as your JD progression aligns.,Office-specific Canadian legal-recruiting requirements,government_canada,Department of Justice Canada,official_program,True,official Canadian federal or parliamentary student-program page,https://www.justice.gc.ca/eng/abt-apd/recru/lep-pea/index.html
Aecon Group Inc.,"Business Analyst, Co-op","Etobicoke, ON",Canada,Compliance & Governance,Fall 2026 · 12–16 months,Onsite,2026-07-11,1 day ago when verified,,CAD $20–$25/hour,94,Strong match,Check co-op and term length,"The role is structured as a 12–16 month co-op placement. Confirm University of Ottawa registration, start date, and whether the long full-time term fits the combined program.",Must be eligible to work in Canada,curated,Aecon via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/business-analyst-co-op-at-aecon-group-inc-4422067083
Library of Parliament,Parliamentary Guide Program — Fall-Winter 2026–2027,"Ottawa, ON",Canada,Policy & Government,Fall 2026,Not stated,2026-07-13,Live feed · verified Jul 13,2026-07-23,,93,Strong match,Check citizenship and schedule requirements,"The official program requires Canadian citizenship or permanent residence, study at a Canadian university, and bilingual English/French ability. Confirm fall-winter availability and all application documents before the July 23, 2026 deadline.",Canadian citizen or permanent resident required,government_canada,Library of Parliament,official_program,True,official Canadian federal or parliamentary student-program page,https://lop.parl.ca/sites/jobs/default/en_CA/guides
TCI / Entercan,Legal Intern,"North York, ON",Canada,Legal & Contracts,Current,Onsite,2026-07-09,Posted Jul 9,,$19/hour,93,Strong match,Likely match,"The posting welcomes finance, accounting, and legal studies backgrounds and notes international students may apply. Verify hours, supervision, and work-permit conditions.",Confirm Canadian work authorization,curated,TCI via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/uh6APB1E4a0_B1_7JeqF_m9ZzXAL-sOz_JOy4QMn2sLCl4Rxs1iWk6HcCYps8d3Y
Senate of Canada,Senate of Canada Student Employment Program,"Ottawa, ON",Canada,Policy & Government,Year-round / ongoing,Not stated,2026-07-13,Live feed · verified Jul 13,,,92,Strong match,Check student-inventory requirements,"Confirm current enrolment, return-to-studies expectations, Canadian work authorization, term availability and any team-specific security or language requirements.",Canadian work authorization and Senate requirements apply,government_canada,Senate of Canada,official_program,True,official Canadian federal or parliamentary student-program page,https://sencanada.ca/en/about/careers/student-employment/
CAE,C-FIN-200 Tax Intern,"Saint-Laurent, QC",Canada,"Finance, Tax & Risk",Fall 2026,Hybrid,2026-07-05,Posted about 1 week ago,,,92,Strong match,Likely match,"Student-only university internship from August 31 to December 18, 2026. Confirm academic availability and Canadian work authorization.",Must be eligible to work in Canada,curated,CAE via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/6q5TZhl-Js3VAhbg8Ec_sWuTftdLjPYGKvQDIpd7vZyndbn1x9mOhHxglC58OTO7
U.S. Department of Justice,Volunteer Legal Internships,United States,United States,Legal & Contracts,Fall,Not stated,2026-07-13,Live feed · verified Jul 13,,,91,Strong match,Check law-school year and U.S. requirements,"Most DOJ legal internships require careful verification of law-school standing, U.S. citizenship, background investigation and application timing.",U.S. citizenship and federal suitability requirements may apply,government_us,U.S. Department of Justice Legal Careers,official_program,True,official government or central-bank student program page,https://www.justice.gov/legal-careers/volunteer-legal-internships
Federal Trade Commission,Bureau of Competition Legal Internships,"Washington, DC and other U.S. locations",United States,Legal & Contracts,Fall,Not stated,2026-07-13,Live feed · verified Jul 13,,,91,Strong match,Check law-school and citizenship requirements,Confirm whether the current cycle accepts your Canadian combined-program standing and whether U.S. citizenship or independent authorization is required.,U.S. federal eligibility and security review apply,government_us,Federal Trade Commission,official_program,True,official government or central-bank student program page,https://www.ftc.gov/about-ftc/bureaus-offices/bureau-competition/careers-bureau-competition/legal-internships
OLG,Business Analyst Student,"Sault Ste. Marie, ON",Canada,Analytics & Strategy,Fall 2026,Onsite,2026-07-09,3 days ago when verified,2026-07-15,CAD $18.50–$28.50/hour,91,Strong match,Check academic-term fit,"The posting accepts current students in business administration, finance, computer science, marketing, or a related discipline and explicitly allows applicants outside registered co-op programs.",Must be eligible to work in Canada,curated,OLG via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/business-analyst-student-at-olg-4437323418
Manulife,Canada Retirement Investment Product Analysis Co-op,"Toronto, ON",Canada,Business & Finance,Fall 2026,Hybrid,2026-07-03,Posted Jul 3,,,91,Strong match,Likely match,"Commerce, finance, economics, or related students are a natural target. Confirm co-op registration requirements.",Must be eligible to work in Canada,curated,Manulife via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/wO3oya7iHV6jwjutaAi8nBt3n1NBosXhT04ypEp3xawKfOBSpF02TN_axI6js7ey
Bank of Canada,Student and Recent Graduate Opportunities,Ottawa and other Canadian locations,Canada,Legal & Contracts,Current and recurring opportunities,Not stated,2026-07-13,Live feed · verified Jul 13,,,90,Strong match,Check each Bank of Canada posting,"Confirm term dates, academic field, language, security and work-authorization requirements on each current posting.",Canadian work eligibility and security screening apply,government_canada,Bank of Canada Careers,official_program,True,official government or central-bank student program page,https://www.bankofcanada.ca/careers/students-and-recent-graduates/
Sony Corporation of America,Legal Intern,"New York, NY",United States,Legal & Contracts,Fall 2026,Hybrid,2026-07-10,Posted Jul 10,,$23/hour,90,Strong match,ABA law school + U.S. authorization required,"The posting requires enrollment in an ABA-accredited law school and authorization to work in the U.S. A University of Ottawa JD ordinarily does not meet the ABA-school wording, so treat this as a networking benchmark unless Sony confirms otherwise.",Must already be authorized to work in the U.S.,curated,Sony Careers,official,True,manually reviewed source record,https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/New-York/Legal-Intern_JR-119374
Schneider Electric,Government Relations Intern,"Montréal, QC",Canada,Policy & Government,Current,Hybrid,2026-07-09,Posted Jul 9,,,90,Strong match,Likely match,"The role favors public policy, political science, or a related program. A combined business-law program is plausibly related; explain the policy-business connection clearly.",Must be eligible to work in Canada,curated,Schneider Electric via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/29R6pCIPopPfgDoxcWukh11C8XY6wKyWtCV3xfSixzEaL9g424nHFjLh5hPne1PV
Roche,Fall 2026 Business / Data Analyst Intern,"Montréal, QC",Canada,Analytics & Strategy,Fall 2026 · 12 months,Hybrid,2026-07-08,4 days ago when verified,,Paid internship; amount not stated,90,Strong match,Degree-field conflict,"The posting requires an undergraduate degree or diploma in computer science, data analytics, information systems, AI, or a related technical field. A BCom/JD with technical coursework may not satisfy that wording, and the role is full-time for 12 months.",Must be eligible to work in Canada,curated,Roche via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/2026-fall-intern-business-data-analyst-intern-stagiaire-d-automne-2026-analyste-d-affaires-de-donn%C3%A9es-at-roche-4438137649
Government of Canada,Federal Student Work Experience Program (FSWEP) — Ongoing Student Recruitment Inventory,Across Canada,Canada,Legal & Contracts,Year-round / ongoing,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check federal student eligibility,"Confirm full-time status, return-to-studies eligibility, and citizenship or permanent-resident preference.",Canadian citizens and permanent residents receive preference,government_canada,Government of Canada — FSWEP,official_program,True,official government or central-bank student program page,https://www.canada.ca/en/public-service-commission/jobs/services/recruitment/students/federal-student-work-program.html
Government of Canada,Research Affiliate Program,Across Canada,Canada,Legal & Contracts,Year-round / ongoing,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check research-curriculum requirement,Confirm that the BCom/JD curriculum or a specific course/research project meets the program’s research requirement.,Canadian citizens and permanent residents receive preference,government_canada,Government of Canada — Research Affiliate Program,official_program,True,official government or central-bank student program page,https://www.canada.ca/en/public-service-commission/jobs/services/recruitment/students/research-affiliate-program.html
Government of Canada,Post-Secondary Co-op/Internship Program,Across Canada,Canada,Legal & Contracts,Academic work terms,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check University of Ottawa co-op validation,Ask the University of Ottawa program coordinator whether the combined BCom/JD program is validated and whether the work term can count as an academic requirement.,Must be referred through a validated co-op or internship program,government_canada,Government of Canada — Co-op/Internship Program,official_program,True,official government or central-bank student program page,https://www.canada.ca/en/public-service-commission/jobs/services/recruitment/students/coop-internship.html
Canada Border Services Agency,Student Border Services Officer — Summer 2027,Various locations in Canada,Canada,Legal & Contracts,Summer 2027,Not stated,2026-07-13,Live feed · verified Jul 13,2026-09-17,,89,Good match,"Check citizenship, licensing and availability","Confirm citizenship or permanent-resident eligibility, driver’s-licence and security requirements, and full-time availability from late April to early September 2027.",Government security and Canadian status requirements apply,government_canada,Canada Border Services Agency,official_program,True,official government or central-bank student program page,https://www.cbsa-asfc.gc.ca/job-emploi/student-etudiant/sbso-aesf-eng.html
Parks Canada,Student and Youth Employment Opportunities,Across Canada,Canada,Legal & Contracts,Seasonal and current postings,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check each Parks Canada posting,"Eligibility, age, term dates, location and work authorization vary by opening. Review each official posting before applying.",Canadian work authorization required,government_canada,Parks Canada,official_program,True,official government or central-bank student program page,https://parks.canada.ca/agence-agency/emplois-jobs/etudiants-students
Canada Revenue Agency,Student and Graduate Hiring Opportunities,Across Canada,Canada,Legal & Contracts,Current and recurring opportunities,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check CRA inventory requirements,"Confirm the specific inventory’s academic field, citizenship or residency, security, language and term requirements.",Canadian work eligibility and security screening apply,government_canada,Canada Revenue Agency Careers,official_program,True,official government or central-bank student program page,https://www.canada.ca/en/revenue-agency/corporate/careers-cra/browse-job-types/student-graduate-hiring.html
National Research Council Canada,NRC Student Employment Program,Across Canada,Canada,Legal & Contracts,Current and recurring opportunities,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check field and term requirements,"Review individual NRC postings for program relevance, academic standing, security and work-term requirements.",Canadian work eligibility and security screening may apply,government_canada,National Research Council Canada,official_program,True,official government or central-bank student program page,https://nrc.canada.ca/en/corporate/careers/nrc-student-employment-program
Canadian Food Inspection Agency,CFIA Student Opportunities,Across Canada,Canada,Legal & Contracts,Current and recurring opportunities,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check individual CFIA opportunity,"Confirm the recruiting stream, academic field, security, language and work-term requirements for each opportunity.",Canadian work eligibility and security screening may apply,government_canada,Canadian Food Inspection Agency,official_program,True,official government or central-bank student program page,https://inspection.canada.ca/en/about-cfia/job-opportunities/how-apply/students
Employment and Social Development Canada,Student Work Placement Program,Across Canada,Canada,Legal & Contracts,Academic and seasonal work terms,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check partner and residency requirements,"Review each delivery partner’s requirements, including school registration, age or residency rules, work authorization and whether the placement can fit the academic schedule.",Program-specific Canadian eligibility applies,government_canada,Government of Canada — Student Work Placement Program,official_program,True,official government or central-bank student program page,https://www.canada.ca/en/employment-social-development/services/student-work-placements-wage-subsidies.html
U.S. Federal Government,Pathways Internship Program,United States,United States,Legal & Contracts,Current and recurring opportunities,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check U.S. federal eligibility,"Confirm U.S. citizenship or nationality, independent work authorization, academic status, location and security requirements for each USAJOBS posting.",U.S. federal eligibility varies; citizenship is commonly required,government_us,U.S. Office of Personnel Management,official_program,True,official government or central-bank student program page,https://www.opm.gov/policy-data-oversight/hiring-information/students-recent-graduates/
U.S. Department of State,Student Internship Program,United States and overseas,United States,Legal & Contracts,Program-specific cycles,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Check U.S. citizenship and security requirements,"Confirm U.S. citizenship, academic status, security-clearance eligibility and term availability before applying.",U.S. citizenship and security requirements apply,government_us,U.S. Department of State Careers,official_program,True,official government or central-bank student program page,https://careers.state.gov/interns-fellows/student-internship-program/
Government of Alberta,Alberta Public Service Student Opportunities and Internships,Alberta,Canada,Legal & Contracts,Current and seasonal opportunities,Not stated,2026-07-13,Posted Jul 13,,,89,Good match,Check co-op enrollment,Confirm that your University of Ottawa program can register or approve this co-op work term.,Must be eligible to work in Canada,government_canada,Alberta Public Service student opportunities,official_program,True,official Canadian public-sector student program page,https://www.alberta.ca/find-student-opportunities-and-internships
"Blake, Cassels & Graydon LLP",Blakes Law Student Programs,"Toronto, Ottawa, Montréal, Calgary and Vancouver",Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.joinblakes.com/law-students/
"Osler, Hoskin & Harcourt LLP",Osler Law Student Programs,"Toronto, Ottawa, Montréal, Calgary and Vancouver",Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.osler.com/en/law-students/
Torys LLP,Torys Student Program,Toronto and Calgary,Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.torys.com/careers/student-program
McCarthy Tétrault LLP,McCarthy Tétrault Student Programs,"Vancouver, Calgary, Toronto, Ottawa, Montréal and Québec City",Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.mccarthy.ca/en/careers/students
Dentons Canada LLP,Dentons Canada Summer and Articling Programs,"Calgary, Edmonton, Montréal, Ottawa, Toronto and Vancouver",Canada,Legal & Contracts,Summer,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://students.dentons.com/opportunities-around-the-globe/canada/
Norton Rose Fulbright Canada LLP,Norton Rose Fulbright Canada Student Programs,"Calgary, Montréal, Ottawa, Québec City, Toronto and Vancouver",Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.nortonrosefulbright.com/en-ca/careers/students/programs
Bennett Jones LLP,Bennett Jones Law Student Programs,"Calgary, Edmonton, Ottawa, Toronto and Vancouver",Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.bennettjones.com/Student-Recruiting
Borden Ladner Gervais LLP,BLG Student Programs,"Calgary, Montréal, Ottawa, Toronto and Vancouver",Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.blg.com/en/student-programs
