company,title,location,country,lane,term,mode,posted_date,posted_label,deadline,compensation,fit_score,fit_label,eligibility_label,eligibility_notes,work_auth,source_family,source_name,source_type,official,provenance,url
Stikeman Elliott LLP,Stikeman Elliott Law Student Programs,"Toronto, ON and other Canadian offices",Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,89,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://stikeman.com/en-CA/careers/students/toronto
Bank of America,Finance Management Summer Analyst Program — 2027,"Charlotte, NC; New York, NY; additional U.S. locations",United States,"Finance, Tax & Risk",Summer 2027,Onsite,2026-07-12,"Open and verified July 12, 2026",2026-09-30,,89,Good match,Class-year and sponsorship conflict,"Eligible candidates must graduate between November 2027 and August 2028, while Katherine’s résumé lists April 2031. The employer also will not consider candidates who require visa sponsorship now or later.",U.S. work authorization required; no current or future sponsorship,curated,Bank of America Careers,official,True,manually reviewed source record,https://careers.bankofamerica.com/en-us/students/job-detail/14422/finance-management-summer-analyst-program-2027-multiple-locations
Stellantis,Strategy & Business Analytics Co-op — Customer Programs,"Mississauga, ON",Canada,Analytics & Strategy,Fall 2026,Onsite,2026-07-12,Live tracker · verified Jul 12,,"$1,000–$1,080/week (tracker)",89,Good match,Check co-op eligibility,"Confirm co-op enrollment, term dates, and Canadian work authorization.",Must be eligible to work in Canada,curated,Stellantis Careers / Canadian tracker,official,True,manually reviewed source record,https://recruiting.adp.com/srccsh/public/RTI.home?c=2183219&d=ExternalCareerSite&idUnique=5001210286906&r=5001210286906&rb=INDEED
WorkSafeBC,"Co-op Student, Data Analytics — Internal Audit","Richmond, BC",Canada,Compliance & Governance,Fall 2026,Remote,2026-07-12,Live tracker · verified Jul 12,,$26.82/hour (tracker),89,Good match,Check co-op enrollment,Confirm that University of Ottawa co-op or internship registration satisfies the employer’s student requirements.,Must be eligible to work in Canada,curated,Daily Canadian Internship Tracker,tracker,False,manually reviewed source record,https://careers.worksafebc.com/
CAE,Contract Administration Internship,"Montréal, QC or Ottawa, ON",Canada,Legal & Contracts,Fall 2026,Hybrid,2026-07-07,Posted Jul 7,,,89,Good match,Check class-year requirement,"The role requests three years of studies completed. Your résumé shows a 2031 graduation date, so verify whether prior credits or the combined-program structure satisfy this requirement.",Canada eligibility + Controlled Goods Program,curated,CAE via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/Ut_XCqlyNGcqrEUyOn7e_hQCqW718SKfZXqKMR8yQ6hZepy-9NErlMpEjsprP0uo
Definity,Reporting Specialist — Fall 2026 Co-op/Intern,"Waterloo, ON",Canada,Analytics & Strategy,Fall 2026,Hybrid,2026-07-07,5 days ago when verified,,,89,Good match,Check related-field wording,"The posting targets students in computer science, data analytics, business analysis, or a similar field. A commerce program with substantial analytics coursework may qualify, but the employer should confirm.",Must be eligible to work in Canada,curated,Definity via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/reporting-specialist-fall-2026-co-op-intern-at-definity-4429186286
D. E. Shaw Group,Legal & Compliance Intern,"New York, NY",United States,Compliance & Governance,Summer 2027,Onsite,2026-06-01,Posted Jun 1,,"$9,000/month plus listed benefits",89,Good match,Target graduation timing mismatch,"The program generally targets students approaching their final year. With an April 2031 graduation date, you are likely earlier than the intended cohort; verify before applying.",Check U.S. authorization and sponsorship,curated,D. E. Shaw Careers,official,True,manually reviewed source record,https://www.deshaw.com/careers/legal-compliance-intern-new-york-summer-2027-5898
Government of Quebec,Quebec Public Service Student Jobs and Internships,Quebec,Canada,Legal & Contracts,Current and seasonal opportunities,Not stated,2026-05-15,Posted May 15,,,89,Good match,Likely match,"Confirm term dates, academic registration, and Canadian work authorization on the official posting.",Must be eligible to work in Canada,government_canada,Quebec public service student opportunities,official_program,True,official Canadian public-sector student program page,https://www.quebec.ca/gouvernement/travailler-gouvernement/emplois-fonction-publique/emplois-etudiants-stages
Canadian Coast Guard,Inshore Rescue Boat Student Program — Summer 2027,Coastal locations across Canada,Canada,Policy & Government,Summer 2027,Not stated,2026-07-13,Live feed · verified Jul 13,2026-11-02,,88,Good match,"Check licences, certifications and regional requirements","Confirm full-time and return-to-studies status, regional language requirements, driver’s licence and marine/first-aid certifications, security screening, medical clearance, and full-time Summer 2027 availability.",Federal student and security requirements apply,government_canada,Canadian Coast Guard,official_program,True,official Government of Canada / Canadian Coast Guard student program page,https://www.canada.ca/en/canadian-coast-guard/services/search-rescue/inshore-rescue-boat-service/apply-student-program-how.html
House of Commons of Canada,House of Commons Student Employment Program,"Ottawa, ON",Canada,Policy & Government,Fall,Not stated,2026-07-13,Posted Jul 13,,,88,Good match,Check co-op enrollment,Confirm that your University of Ottawa program can register or approve this co-op work term.,Must be eligible to work in Canada,government_canada,House of Commons Student Employment,official_program,True,official Canadian public-sector student program page,https://www.ourcommons.ca/en/employment/students
"Blake, Cassels & Graydon LLP",Blakes Pre-Law Internship Opportunities,Canada — office and program dependent,Canada,Legal & Contracts,Current and future cycles,Not stated,2026-07-13,Live feed · verified Jul 13,,,88,Good match,Check current pre-law opening and program criteria,"The official page describes undergraduate pre-law internships, often tied to specific initiatives. Confirm whether a current opening exists and whether its program-specific eligibility criteria fit your background.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.joinblakes.com/undergrad-students/
Fasken Martineau DuMoulin LLP,Fasken Law Student Programs,Canada — multiple offices,Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,88,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://www.fasken.com/en/careers
Gowling WLG (Canada) LLP,Gowling WLG Canada Student Programs,Canada — multiple offices,Canada,Legal & Contracts,Future recruiting cycle,Not stated,2026-07-13,Live feed · verified Jul 13,,,88,Good match,Future law-student recruiting cycle,"This is an official law-student recruiting program page rather than a confirmed opening for Katherine’s current academic stage. Use it to monitor office-specific 1L/2L, summer, and articling timelines and confirm when the relevant application window opens.",Must be eligible to work in Canada,law_firm_programs,Official law-firm student recruiting page,official_recruiting_program,True,official Canadian law-firm student recruiting page,https://gowlingwlg.com/en/careers/canada/students
Bosch,Foreign Trade Data Analytics Intern,"Oak Brook, IL",United States,Compliance & Governance,Current / 2027 feed,Onsite,2026-07-12,Live feed · verified Jul 12,,,88,Good match,Check U.S. authorization and class year,"Review the official posting for term, program, and work-authorization requirements.",Check U.S. authorization and sponsorship,curated,Bosch Careers via Zapply,official,True,manually reviewed source record,https://jobs.smartrecruiters.com/BoschGroup/744000134542009
Cloudflare,Global Trade Compliance Intern,"Austin, TX",United States,Compliance & Governance,Summer 2027,Onsite,2026-07-12,Live feed · verified Jul 12,,,88,Good match,Check U.S. authorization and class year,"Review the official posting for export-control eligibility, class year, and U.S. work authorization.",Check U.S. authorization and sponsorship,curated,Cloudflare Careers via Zapply,official,True,manually reviewed source record,https://boards.greenhouse.io/cloudflare/jobs/7799138?gh_jid=7799138
Interac,AI Product Delivery Intern,"Toronto, ON",Canada,Analytics & Strategy,Fall 2026,Hybrid,2026-07-12,Live tracker · verified Jul 12,,$23–$25/hour (tracker),88,Good match,Check program requirements,"Review the official posting for program, term, and Canadian work-authorization requirements.",Must be eligible to work in Canada,curated,Interac Careers / Canadian tracker,official,True,manually reviewed source record,https://interac.wd3.myworkdayjobs.com/en-US/Interac/job/Toronto/AI-Product-Delivery-Intern_REQ-2283
Maple Leaf Sports & Entertainment,Business Strategy & Analytics Intern,"Toronto, ON",Canada,Analytics & Strategy,Fall 2026,Onsite,2026-07-12,Live tracker · verified Jul 12,,"$38,760 annualized (tracker)",88,Good match,Check co-op eligibility,Confirm academic term and co-op eligibility on the official posting.,Must be eligible to work in Canada,curated,MLSE Careers / Canadian tracker,official,True,manually reviewed source record,https://mlse.wd3.myworkdayjobs.com/MLSE_Opportunities/job/Toronto-Ontario/Business-Strategy---Analytics-Intern_JR0000537
Bombardier,Business Intelligence Analyst Intern,"Dorval, QC",Canada,Analytics & Strategy,Fall 2026 · 8 months,Hybrid,2026-06-28,Posted about 2 weeks ago,,,88,Good match,Minimum two years of study,The posting asks bachelor’s students to have completed at least two years. Confirm how your combined program and prior credits are counted.,Must be eligible to work in Canada,curated,Bombardier on LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/intern-business-intelligence-analyst-fall-2026-at-bombardier-4423079756
Government of British Columbia,BC Public Service Co-op Employment Program,British Columbia,Canada,Compliance & Governance,Academic co-op work terms,Not stated,2026-05-08,Posted May 8,,,88,Good match,Check co-op enrollment,Confirm that your University of Ottawa program can register or approve this co-op work term.,Must be eligible to work in Canada,government_canada,BC Public Service student programs,official_program,True,official Canadian public-sector student program page,https://www2.gov.bc.ca/gov/content/careers-myhr/job-seekers/internship-co-op-opportunities/co-op
CIBC,Data Analyst Co-op,"Toronto, ON",Canada,Analytics & Strategy,Fall 2026,Onsite,2026-07-12,Live tracker · verified Jul 12,,,87,Good match,Check co-op enrollment,Confirm co-op program registration and work-term availability.,Must be eligible to work in Canada,curated,CIBC Campus Careers / Canadian tracker,official,True,manually reviewed source record,https://cibc.wd3.myworkdayjobs.com/campus/job/Toronto-ON/Data-Analyst-Co-op_2611947
HARMAN International,Supply Chain ESG & Compliance Analyst Intern,"Northridge, CA",United States,Compliance & Governance,Current / 2027 feed,Onsite,2026-07-12,Live feed · verified Jul 12,,,87,Good match,Check U.S. authorization and class year,"Review the official posting for term, education, and work-authorization details.",Check U.S. authorization and sponsorship,curated,HARMAN Careers via Zapply,official,True,manually reviewed source record,https://harman.wd3.myworkdayjobs.com/HARMAN/job/Northridge---California-USA/Supply-Chain-ESG---Compliance-Analyst-Intern_R-53404-2026
Stellantis,"Business Analytics Co-op — Aftersales, Sales & Marketing","Mississauga, ON",Canada,Analytics & Strategy,Fall 2026,Onsite,2026-07-12,Live tracker · verified Jul 12,,"$1,000–$1,080/week (tracker)",87,Good match,Check co-op eligibility,"Confirm co-op enrollment, term dates, and Canadian work authorization.",Must be eligible to work in Canada,curated,Stellantis Careers / Canadian tracker,official,True,manually reviewed source record,https://recruiting.adp.com/srccsh/public/RTI.home?c=2183219&d=ExternalCareerSite&idUnique=5001210273706&r=5001210273706&rb=INDEED
McKesson,Data Governance Analyst Intern,"Mississauga, ON",Canada,Compliance & Governance,Fall 2026,Hybrid,2026-07-10,Posted Jul 10,,,87,Good match,Stretch — experience requirement,The posting unusually asks for 2–4+ years of data-governance or data-management experience. Apply only with strong projects and clearly address the gap.,Must be eligible to work in Canada,curated,McKesson via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/RSTLyPH_AmNoLB7i0gWzpHJpLimH4ddbZDu_AY54nLq4_GaM_QGgo3DNjIGfoaGj
TikTok,Governance Strategy Intern,"San Jose, CA",United States,Compliance & Governance,Current / 2027 feed,Onsite,2026-07-12,Live feed · verified Jul 12,,,86,Good match,Check U.S. authorization and class year,"Review the official posting for degree timing, term, and U.S. work-authorization requirements.",Check U.S. authorization and sponsorship,curated,TikTok Careers via Zapply,official,True,manually reviewed source record,https://lifeattiktok.com/position/7628350902421522693
Duquesne Light Company,Legal Services / Compliance Intern,"Pittsburgh, PA",United States,Compliance & Governance,Summer 2027,Hybrid,2026-07-08,Posted about 4 days ago,,,86,Good match,Second-year law student requirement,The posting targets second-year law students and U.S. employment conditions may apply. Confirm whether a Canadian law student can qualify.,Check U.S. work authorization,curated,Duquesne Light on LinkedIn,aggregator,False,manually reviewed source record,https://www.linkedin.com/jobs/view/2027-summer-internship-legal-services-compliance-at-duquesne-light-company-4437851551
Capital One,Commercial Internship Program,"McLean, VA",United States,Business & Finance,Summer 2027,Hybrid,2026-07-06,Posted Jul 6,,,86,Good match,Graduation date and sponsorship conflict,The posting requires degree completion by July 2028 or earlier and states that employment-immigration support is not available. Your 2031 graduation date conflicts with the cohort requirement.,No employment-immigration support; independent U.S. authorization required,curated,Capital One Careers,official,True,manually reviewed source record,https://www.capitalonecareers.com/job/mclean/commercial-internship-program-summer-2027/31238/97421687536
Mars Canada,Business Analytics Analyst Co-op,"Bolton, ON",Canada,Analytics & Strategy,Fall 2026 · 8 months,Onsite,2026-07-12,Live tracker · verified Jul 12,,,85,Good match,Check co-op eligibility,Confirm co-op enrollment and eight-month availability.,Must be eligible to work in Canada,curated,Mars on LinkedIn / Canadian tracker,tracker,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/mars-canada-business-analytics-analyst-co-op-at-mars-4430031048
BNP Paribas,Data Analytics & Project Management Intern,"Montréal, QC",Canada,Analytics & Strategy,Current · 6 months,Hybrid,2026-06-21,Posted about 3 weeks ago,,,85,Good match,Current education mismatch,"The listing specifies a master’s student in a quantitative field. Your skills align, but your current BCom/JD program does not match the stated education requirement.",Must be legally eligible in Greater Montréal,curated,BNP Paribas on LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/data-analytics-project-management-intern-at-bnp-paribas-4390537935
Amazon,Finance Rotation Program — Business Unit Finance Intern,"Seattle, WA",United States,Business & Finance,Summer 2027,Onsite,2026-07-12,Live feed · verified Jul 12,,,84,Good match,Check U.S. authorization and class year,Review the official posting for graduation date and work-authorization policy.,Check U.S. authorization and sponsorship,curated,Amazon Jobs via Zapply,official,True,manually reviewed source record,https://www.amazon.jobs/en/jobs/10435672/2027-amazon-finance-rotation-program-business-unit-finance-intern
BMW Group,Performance Analytics Intern,"Richmond Hill, ON",Canada,Analytics & Strategy,Fall 2026 · 12 months,Onsite,2026-07-12,Live tracker · verified Jul 12,,"About $47,000/year (tracker)",84,Good match,Check 12-month availability,The 12-month duration may conflict with a full-time academic schedule; confirm leave or co-op options.,Must be eligible to work in Canada,curated,BMW Group on LinkedIn,tracker,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/performance-analytics-intern-12-months-at-bmw-group-4431783004
PepsiCo Canada,IT Analytics Co-op,"Mississauga, ON",Canada,Analytics & Strategy,Fall 2026,Onsite,2026-07-12,Live tracker · verified Jul 12,,$25–$37.50/hour (tracker),84,Good match,Check co-op eligibility,"Confirm co-op registration, academic term, and Canadian work authorization.",Must be eligible to work in Canada,curated,PepsiCo Campus Careers,official,True,manually reviewed source record,https://globalcampus-pepsico.icims.com/jobs/452360/pepsico-canada%3A-fall-2026-it-analytics-co-op/job?in_iframe=1
S&P Global,Ratings Operations Intern,"New York, NY",United States,"Finance, Tax & Risk",Current / 2027 feed,Onsite,2026-07-12,Live feed · verified Jul 12,,,84,Good match,Check U.S. authorization and graduation year,"Review the official posting for class year, location, and work-authorization rules.",Check U.S. authorization and sponsorship,curated,S&P Global Careers via Zapply,official,True,manually reviewed source record,https://spgi.wd5.myworkdayjobs.com/SPGI_Careers/job/New-York-NY/Ratings-Operations-Intern_330181-1
Walleye Capital,Business Operations Intern,"New York, NY",United States,Business & Finance,Summer 2027,Onsite,2026-07-12,Live feed · verified Jul 12,,,84,Good match,Check U.S. authorization and class year,Review the official posting for degree timing and U.S. work authorization.,Check U.S. authorization and sponsorship,curated,Walleye Capital Careers via Zapply,official,True,manually reviewed source record,https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4678723006
Comcast,Business Analytics Co-op,"Philadelphia, PA",United States,Analytics & Strategy,Current / 2027 feed,Onsite,2026-07-12,Live feed · verified Jul 12,,,83,Good match,Check U.S. authorization and co-op rules,"Review the official posting for co-op enrollment, timing, and U.S. work authorization.",Check U.S. authorization and sponsorship,curated,Comcast Careers via Zapply,official,True,manually reviewed source record,https://comcast.wd5.myworkdayjobs.com/Comcast_Careers/job/PA---Philadelphia-1701-John-F-Kennedy-Blvd/Comcast-Business-Analytics-Co-op_R435981
Federal Trade Commission — Bureau of Competition,Legal Internship / Law Clerk,"Washington, DC; select ACE offices",United States,Law Student Recruiting,Summer 2027,Onsite,2026-07-12,Program page verified Jul 12,2026-09-04,Unpaid; stipend or course credit required,83,Good match,U.S. citizenship required,"The FTC explicitly requires U.S. citizenship. The 2L application window is July 17–September 4, 2026; the 1L window is November 20, 2026–January 8, 2027.",U.S. citizenship required,curated,Federal Trade Commission,official,True,manually reviewed source record,https://www.ftc.gov/about-ftc/bureaus-offices/bureau-competition/careers-bureau-competition/legal-internships-bureau
Pratt & Whitney Canada,Digital Transformation Intern,"Longueuil, QC",Canada,Analytics & Strategy,Fall 2026,Onsite,2026-07-10,Posted Jul 10,,,83,Good match,Check academic requirements,"Review the official listing for eligible programs, language expectations, and work-term requirements.",Must be eligible to work in Canada,curated,Pratt & Whitney on LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/stage-automne-2026-transformation-numerique-internship-%E2%80%93-fall-2026-%E2%80%93-digital-transformation-at-pratt-whitney-4429797413
ABB,Finance Intern,"Alpharetta, GA",United States,Business & Finance,Fall 2026,Onsite,2026-07-12,Live feed · verified Jul 12,,,82,Good match,Check U.S. authorization and term,"Review the official posting for graduation timing, fall availability, and U.S. work authorization.",Check U.S. authorization and sponsorship,curated,ABB Careers via Zapply,official,True,manually reviewed source record,https://abb.wd3.myworkdayjobs.com/external_career_page/job/Alpharetta-Georgia-United-States-of-America/Finance-Intern---Fall-2026_JR00039384
Samfiru Tumarkin LLP,2027 Summer Law Student,"Toronto, ON",Canada,Law Student Recruiting,Summer 2027,Hybrid,2026-07-07,Posted Jul 7,2026-08-28,"$6,500–$7,000/month (listing)",82,Good match,Confirm law-school recruitment year,This appears to be a formal 2027 summer law-student cycle. Confirm whether your current year in the combined BCom/JD program is eligible under Ontario recruitment rules.,Must be eligible to work in Canada,curated,Samfiru Tumarkin via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/UjoMYsuHeeM0dOxwhNut6JfnO3jFB-oYrPHKRIePRYIHG22GKaRBtmj_NnNoduAw
Etched,Finance Intern,"San Jose, CA",United States,Business & Finance,Current / 2027 feed,Onsite,2026-07-12,Live feed · verified Jul 12,,,81,Exploratory match,Check U.S. authorization and class year,"Review the official posting for term, class year, and work-authorization rules.",Check U.S. authorization and sponsorship,curated,Etched Careers via Zapply,official,True,manually reviewed source record,https://jobs.ashbyhq.com/etched/a0a1671e-15d4-474c-8227-97fe16ade553/application
Legal Aid Ontario,2027 2L Summer Law Student — Policy,"Toronto, ON",Canada,Law Student Recruiting,Summer 2027,Onsite,2026-07-12,Current posting · verified Jul 12,,,81,Exploratory match,2L requirement,The title explicitly targets 2L students. Your résumé’s 2031 graduation date suggests you may be too early for this cycle unless your combined-program standing is treated differently.,Must be eligible to work in Canada,curated,Legal Aid Ontario via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/Boi-vZqzMpDuChCWmX7lwRpd4_vQsSX2iXzBRvOCicy4_BtfCWlmKiQNVn1x7VWF
City of Toronto,Summer Law Student Program,"Toronto, ON",Canada,Law Student Recruiting,Summer 2027,Hybrid,2026-07-12,Program page verified Jul 12,,,80,Exploratory match,Future-cycle / year check,The program recruits second-year law students through the formal viLawPortal process. Monitor the applicable Law Society recruitment calendar.,Must be eligible to work in Canada,curated,City of Toronto,official,True,manually reviewed source record,https://www.toronto.ca/home/jobs/information-for-applicants/recruitment-initiatives/law-summer-student-program/
Department of Justice Canada,Legal Excellence Program — Summer Student,"Vancouver, BC",Canada,Law Student Recruiting,Summer 2027,Onsite,2026-07-06,Posted about 6 days ago,2026-08-14,"$70,647 annualized (listing)",79,Exploratory match,Check law-year qualification,The process is administered through viLawPortal and appears targeted to students who can qualify for temporary articles. Confirm your year and eligibility before applying.,Canada residency/citizenship preferences may apply,curated,Justice Canada via Workopolis / viLawPortal,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/PRLyBhg0lFKsJVQNARWVumGJ6wG231ValYWryJGreoURSHClkFa1-_9jXBlr2Dik
California Department of Justice,Law Student Internships — Current Openings,California,United States,Law Student Recruiting,Spring / Summer 2027,Onsite,2026-07-12,Openings page verified Jul 12,2026-10-15,,78,Exploratory match,Check office-specific eligibility,"Each section has separate dates and requirements. Confirm U.S. work authorization, law-school status, location, and whether the role accepts non-U.S. law students.",Check U.S. authorization and office rules,curated,California Department of Justice,official,True,manually reviewed source record,https://oag.ca.gov/careers/students
Legal Aid Ontario,2027 2L Summer Law Student — Criminal,"Toronto, ON",Canada,Law Student Recruiting,Summer 2027,Onsite,2026-07-12,Current posting · verified Jul 12,,,78,Exploratory match,2L requirement,The title explicitly targets 2L students. Treat this as a future-cycle networking opportunity unless your program standing qualifies.,Must be eligible to work in Canada,curated,Legal Aid Ontario via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/VFehvgm99ni6TbI0K-Y2dkjhm1KCIqUAksDQrvcOZ46QXkC1-wBhcTYKryfiOD8h
Santa Clara County District Attorney,1L / 2L Law Clerk Internship,"San Jose, CA",United States,Law Student Recruiting,Summer 2027,Onsite,2026-07-12,Deadlines page verified Jul 12,2027-02-05,,77,Exploratory match,Check U.S. law-school and authorization rules,"The 2L deadline is August 21, 2026, and the 1L deadline is February 5, 2027. Confirm whether a Canadian JD student may participate.",Check U.S. authorization,curated,Santa Clara County District Attorney,official,True,manually reviewed source record,https://da.santaclaracounty.gov/employment-internship-opportunities/law-clerk-internships/program-schedulesdeadlines
U.S. Department of Justice,Law Student Volunteer,Various U.S. locations,United States,Law Student Recruiting,Spring / Summer / Fall 2027,Varies,2026-07-12,Current posting verified Jul 12,2026-12-15,Unpaid volunteer roles,76,Exploratory match,Citizenship and U.S.-law-school restrictions likely,"Many DOJ volunteer placements require U.S. citizenship, security review, and enrollment in an accredited U.S. law school. Review each component’s requirements carefully.",Often U.S. citizenship required,curated,U.S. Department of Justice,official,True,manually reviewed source record,https://www.justice.gov/legal-careers/job/law-student-volunteer-spring-2027-summer-2027-fall-2027
